Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,AG_BSA,AG_Budget_SubActivity_BSA_Title,Line_Number,SAG_BLI,SAG_Budget_Line_Item_BLI_Title,Include_In_TOA,FY_2025_Actuals,FY_2025_Reconciliation,FY_2025_Total,FY_2026_Discretionary_Enacted,FY_2026_PL_119_21_Spend_Plan,FY_2026_Total,FY_2027_Discretionary_Request,FY_2027_Mandatory_Request,FY_2027_Total,Classification
1106N,"Operation and Maintenance, Marine Corps",N,03,Training and recruiting,3B,Basic Skill and Advanced Training,100,3B1D,Specialized Skill Training,Y,121350,,121350,114526,,114526,242438,,242438,U
1106N,"Operation and Maintenance, Marine Corps",N,03,Training and recruiting,3B,Basic Skill and Advanced Training,110,3B3D,Professional Development Education,Y,61911,,61911,58696,,58696,64994,,64994,U
1106N,"Operation and Maintenance, Marine Corps",N,03,Training and recruiting,3B,Basic Skill and Advanced Training,120,3B4D,Training Support,Y,538947,,538947,538812,,538812,838526,,838526,U
1106N,"Operation and Maintenance, Marine Corps",N,03,Training and recruiting,3C,Recruiting and Other Training & Education,130,3C1F,Recruiting and Advertising,Y,231422,,231422,235804,,235804,363287,,363287,U
1106N,"Operation and Maintenance, Marine Corps",N,03,Training and recruiting,3C,Recruiting and Other Training & Education,140,3C2F,Off-Duty and Voluntary Education,Y,47416,,47416,27850,15000,42850,47840,,47840,U
1106N,"Operation and Maintenance, Marine Corps",N,03,Training and recruiting,3C,Recruiting and Other Training & Education,150,3C3F,Junior ROTC,Y,29579,,29579,30808,,30808,33292,,33292,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4A,Servicewide Support,160,4A1W,Agriculture and Grazing,Y,811,,811,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4A,Servicewide Support,170,4A2W,Recycling,Y,8709,,8709,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4A,Servicewide Support,180,4A3G,Servicewide Transportation,Y,96017,,96017,87509,,87509,154026,,154026,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4A,Servicewide Support,190,4A4G,Administration,Y,435590,,435590,423691,,423691,416349,,416349,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4S,Spectrum/Telecommunications,210,4A3W,Forestry Program,Y,632,,632,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4S,Spectrum/Telecommunications,220,4S36,DON UAS Video 5,Y,5520,,5520,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4S,Spectrum/Telecommunications,230,4S54,DoN TRR 3 Transition Support,Y,1547,,1547,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4S,Spectrum/Telecommunications,240,4S67,HQMC Transition Management Support,Y,164,,164,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4S,Spectrum/Telecommunications,250,4S68,USMC Commercial Industry Deployment Coordination,Y,200,,200,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4S,Spectrum/Telecommunications,260,4S69,USMC G/ATOR System Modifications,Y,8926,,8926,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4S,Spectrum/Telecommunications,270,4S70,USMC Engineering Analysis & Operational Compliance,Y,105,,105,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4S,Spectrum/Telecommunications,280,4S86,USMC Engineering and Sharing Support,Y,102,,102,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4S,Spectrum/Telecommunications,290,4S87,USMC EME Sensing and Monitoring,Y,248,,248,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",N,04,Administration and Service-wide Activities,4X,Cancelled Accounts,300,4EMM,Cancelled Account Adjustment,Y,5261,,5261,,,,,,,U
1106N,"Operation and Maintenance, Marine Corps",,04,,,,999,9999,Classified Programs,Y,64537,,64537,73788,,73788,80140,,80140,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,01,Air Operations,010,1A1A,Mission and Other Flight Operations,Y,703855,,703855,741345,,741345,787622,,787622,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,01,Air Operations,020,1A4N,Air Systems Support,Y,9002,,9002,9972,,9972,9733,,9733,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,01,Air Operations,030,1A5A,Aircraft Depot Maintenance,Y,137171,,137171,204603,,204603,215547,,215547,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,01,Air Operations,040,1A9A,Aviation Logistics,Y,29360,,29360,24469,,24469,27703,,27703,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,1C,Combat Operations/Support,050,1C1C,Combat Communications,Y,19513,,19513,19698,,19698,19652,,19652,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,1C,Combat Operations/Support,060,1C6C,Combat Support Forces,Y,193949,,193949,186446,,186446,196376,,196376,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,1C,Combat Operations/Support,070,1CCY,Cyberspace Activities,Y,370,,370,294,,294,288,,288,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,BS,Base Support,080,BSIT,Enterprise Information,Y,30814,,30814,33414,,33414,30811,,30811,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,BS,Base Support,090,BSMR,"Sustainment, Restoration and Modernization",Y,50327,,50327,58213,,58213,59386,,59386,U
1806N,"Operation and Maintenance, Navy Reserve",N,01,Operating Forces,BS,Base Support,100,BSSR,Base Operating Support,Y,116356,,116356,118361,,118361,111177,,111177,U
1806N,"Operation and Maintenance, Navy Reserve",N,04,Administration and Service-wide Activities,4A,Servicewide Support,110,4A1M,Administration,Y,1640,,1640,2539,,2539,2747,,2747,U
1806N,"Operation and Maintenance, Navy Reserve",N,04,Administration and Service-wide Activities,4A,Servicewide Support,120,4A4M,Military Manpower and Personnel Management,Y,13004,,13004,13949,,13949,14944,,14944,U
1806N,"Operation and Maintenance, Navy Reserve",N,04,Administration and Service-wide Activities,4B,Logistics Operations & Technical Support,130,4B3N,Acquisition and Program Management,Y,2175,,2175,1517,,1517,1230,,1230,U
1806N,"Operation and Maintenance, Navy Reserve",N,04,Administration and Service-wide Activities,4X,Cancelled Accounts,140,4EMM,Cancelled Account Adjustments,Y,11,,11,,,,,,,U
1107N,"Operation and Maintenance, Marine Corps Reserve",N,01,Operating forces,1A,Expeditionary Forces,010,1A1A,Operating Forces,Y,131374,,131374,117987,10854,128841,142416,,142416,U
1107N,"Operation and Maintenance, Marine Corps Reserve",N,01,Operating forces,1A,Expeditionary Forces,020,1A3A,Depot Maintenance,Y,22039,,22039,22686,,22686,23213,,23213,U
1107N,"Operation and Maintenance, Marine Corps Reserve",N,01,Operating forces,BS,Base Support,030,BSM1,"Sustainment, Restoration and Modernization",Y,46803,,46803,47517,,47517,100709,,100709,U
1107N,"Operation and Maintenance, Marine Corps Reserve",N,01,Operating forces,BS,Base Support,040,BSS1,Base Operating Support,Y,118994,,118994,119909,,119909,128902,,128902,U
1107N,"Operation and Maintenance, Marine Corps Reserve",N,04,Administration and service-wide activities,4A,Servicewide Support,050,4A4G,Administration,Y,11390,,11390,11774,,11774,9440,,9440,U
1107N,"Operation and Maintenance, Marine Corps Reserve",N,04,Administration and service-wide activities,4X,Cancelled Accounts,060,4EMM,Cancelled Account Adjustment,Y,18,,18,,,,,,,U
0810N,"Environmental Restoration, Navy",N,02,Department of the Navy,45,Closed Account Adjustments,060,044G,"Environmental Restoration, Navy",Y,,,,368949,,368949,305246,,305246,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1F,Air Operations,010,011A,Primary Combat Forces,Y,1182002,,1182002,1352125,94651,1446776,1798263,,1798263,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1F,Air Operations,020,011C,Combat Enhancement Forces,Y,2518161,,2518161,2659464,14289,2673753,3117205,,3117205,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1F,Air Operations,030,011D,"Air Operations Training (OJT, Maintain Skills)",Y,1566621,350000,1916621,1594267,188579,1782846,2770832,,2770832,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1F,Air Operations,040,011M,Depot Purchase Equipment Maintenance,Y,4387243,,4387243,4558562,680538,5239100,6092998,,6092998,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1F,Air Operations,050,011R,"Facilities Sustainment, Restoration & Modernization",Y,4944917,,4944917,2953608,2785104,5738712,6100395,5395743,11496138,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1F,Air Operations,060,011V,Cyberspace Sustainment,Y,216178,,216178,278374,,278374,320297,,320297,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1F,Air Operations,070,011W,Contractor Logistics Support and System Support,Y,10330453,,10330453,9231358,1087776,10319134,11647415,206216,11853631,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1F,Air Operations,080,011Y,Flying Hour Program,Y,6531437,,6531437,5947192,159679,6106871,7265480,174000,7439480,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1F,Air Operations,090,011Z,Base Support,Y,11367134,,11367134,11088908,93000,11181908,11318037,,11318037,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1G,Combat Related Operations,100,012A,Global C3I and Early Warning,Y,1318751,,1318751,1239088,31811,1270899,1214408,,1214408,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1G,Combat Related Operations,110,012C,Other Combat Ops Spt Programs,Y,1756902,,1756902,1834141,13900,1848041,2146977,,2146977,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1G,Combat Related Operations,120,012D,Cyberspace Activities,Y,839984,,839984,857145,3484,860629,1155815,,1155815,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1G,Combat Related Operations,130,012F,Tactical Intel and Other Special Activities,Y,1801838,,1801838,1733598,2000,1735598,1992280,,1992280,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,1G,Combat Related Operations,140,012Q,Medical Readiness,Y,510036,,510036,539000,,539000,561626,,561626,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,20,COCOM,150,015C,US NORTHCOM/NORAD,Y,299791,,299791,256248,,256248,746165,,746165,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,20,COCOM,160,015D,US STRATCOM,Y,522195,,522195,578864,,578864,656448,,656448,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,20,COCOM,170,015F,US CENTCOM,Y,405143,1500,406643,360111,,360111,405438,,405438,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,20,COCOM,180,015G,US SOCOM,Y,39779,,39779,28968,,28968,42261,,42261,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,20,COCOM,190,015H,US TRANSCOM,Y,206,,206,1053,,1053,694,,694,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,20,COCOM,200,015U,CENTCOM Cyberspace Sustainment,Y,1675,,1675,928,,928,,,,U
3400F,"Operation and Maintenance, Air Force",F,01,Operating forces,20,COCOM,210,015X,USSPACECOM,Y,396972,,396972,355156,,355156,555147,,555147,U
3400F,"Operation and Maintenance, Air Force",,01,,,,999,9999,Classified Programs,Y,54298,,54298,73482,,73482,81694,,81694,U
3400F,"Operation and Maintenance, Air Force",F,02,Mobilization,21,Mobility Operations,220,021A,Airlift Operations,Y,4311850,,4311850,3324356,34463,3358819,3782668,,3782668,U
3400F,"Operation and Maintenance, Air Force",F,02,Mobilization,21,Mobility Operations,230,021D,Mobilization Preparedness,Y,241657,,241657,279205,,279205,321889,,321889,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,31,Accession Training,240,031A,Officer Acquisition,Y,260009,,260009,241486,,241486,267971,,267971,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,31,Accession Training,250,031B,Recruit Training,Y,37951,,37951,29335,,29335,70462,,70462,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,31,Accession Training,260,031D,Reserve Officers Training Corps (ROTC),Y,137758,,137758,131342,,131342,143686,,143686,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,32,Basic Skill and Advanced Training,270,032A,Specialized Skill Training,Y,614944,,614944,522068,,522068,589549,,589549,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,32,Basic Skill and Advanced Training,280,032B,Flight Training,Y,806794,,806794,1040465,,1040465,1122297,,1122297,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,32,Basic Skill and Advanced Training,290,032C,Professional Development Education,Y,298783,,298783,284442,,284442,280908,,280908,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,32,Basic Skill and Advanced Training,300,032D,Training Support,Y,190576,,190576,181966,,181966,192608,,192608,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,33,"Recruiting, Other Training & Education",310,033A,Recruiting and Advertising,Y,197413,,197413,256687,,256687,254720,,254720,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,33,"Recruiting, Other Training & Education",320,033B,Examining,Y,7745,,7745,6990,,6990,7261,,7261,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,33,"Recruiting, Other Training & Education",330,033C,Off-Duty and Voluntary Education,Y,233434,,233434,222340,30000,252340,232768,,232768,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,33,"Recruiting, Other Training & Education",340,033D,Civilian Education and Training,Y,367924,,367924,336980,,336980,354678,,354678,U
3400F,"Operation and Maintenance, Air Force",F,03,Training and recruiting,33,"Recruiting, Other Training & Education",350,033E,Junior ROTC,Y,77608,,77608,5000,,5000,114790,,114790,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,42,Logistics Operations,360,041A,Logistics Operations,Y,1091042,,1091042,1136084,6932,1143016,1124763,,1124763,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,42,Logistics Operations,370,041B,Technical Support Activities,Y,138993,,138993,154929,,154929,159721,,159721,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,50,Servicewide Activities,380,042A,Administration,Y,1259409,,1259409,1218129,,1218129,1292758,,1292758,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,50,Servicewide Activities,390,042B,Servicewide Communications,Y,55704,,55704,43270,153,43423,43892,,43892,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,50,Servicewide Activities,400,042D,Defense Environmental Restoration Account,Y,330531,,330531,,,,,,,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,50,Servicewide Activities,410,042G,Other Servicewide Activities,Y,1814444,,1814444,1628727,,1628727,1666547,,1666547,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,50,Servicewide Activities,420,042I,Civil Air Patrol,Y,56500,,56500,57900,,57900,32984,,32984,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,50,Servicewide Activities,430,042W,Def Acquisition Workforce Development account,Y,49251,,49251,48741,,48741,58936,,58936,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,51,Security Programs,440,043A,Security Programs,Y,226703,,226703,203919,,203919,202400,,202400,U
3400F,"Operation and Maintenance, Air Force",F,04,Administration and service-wide activities,52,Support to Other Nations,450,044A,International Support,Y,85073,,85073,89212,,89212,77853,,77853,U
3400F,"Operation and Maintenance, Air Force",,04,,,,999,9999,Classified Programs,Y,1309070,,1309070,1541362,,1541362,1653652,,1653652,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1F,Air Operations,010,012A,Global C3I & Early Warning,Y,611816,,611816,788686,795,789481,1056824,,1056824,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1F,Air Operations,020,013A,Space Launch Operations,Y,357148,,357148,395571,,395571,415322,,415322,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1F,Air Operations,030,013C,Space Operations,Y,915123,,915123,872247,,872247,1266939,,1266939,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1F,Air Operations,040,013E,Education & Training,Y,217046,,217046,286225,,286225,783168,,783168,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1F,Air Operations,050,013F,Special programs,Y,378766,,378766,394567,6390,400957,733761,,733761,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1F,Air Operations,060,013M,Depot Maintenance,Y,68192,,68192,67126,,67126,83803,,83803,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1F,Air Operations,070,013R,"Facilities Sustainment, Restoration & Modernization",Y,529024,,529024,550682,20000,570682,1384326,414314,1798640,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1F,Air Operations,080,013W,Contractor Logistics and System Support,Y,1337074,,1337074,1480242,,1480242,2096381,,2096381,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1F,Air Operations,090,013Z,Space Operations -BOS,Y,238975,,238975,232238,15000,247238,551196,,551196,U
3410F,"Operation and Maintenance, Space Force",F,01,OPERATING FORCES,1H,Space Operations,100,013D,Cyberspace Activities,Y,123030,,123030,135512,,135512,289958,,289958,U
3410F,"Operation and Maintenance, Space Force",,01,,,,999,9999,Classified Programs,Y,86550,,86550,271794,,271794,118478,,118478,U
3410F,"Operation and Maintenance, Space Force",F,04,Administration and Service-Wide Activities,1F,Air Operations,110,041A,Logistics Operations,Y,29389,,29389,35889,,35889,36164,,36164,U
3410F,"Operation and Maintenance, Space Force",F,04,Administration and Service-Wide Activities,50,Servicewide Activities,120,042A,Administration,Y,159080,,159080,168869,,168869,449597,,449597,U
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,010,011A,Primary Combat Forces,Y,1947376,,1947376,1918257,,1918257,2138964,,2138964,U
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,020,011G,Mission Support Operations,Y,193738,,193738,205201,,205201,217542,,217542,U
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,030,011M,Depot Purchase Equipment Maintenance,Y,554199,,554199,702575,25642,728217,787861,,787861,U
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,040,011R,"Facilities Sustainment, Restoration & Modernization",Y,133960,,133960,193802,,193802,187022,77897,264919,U
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,050,011W,Contractor Logistics Support and System Support,Y,519309,,519309,493324,34951,528275,654233,,654233,U
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,060,011Z,Base Support,Y,550465,,550465,585430,,585430,632638,,632638,U
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1G,Combat Related Operations,070,012D,Cyberspace Activities,Y,2325,,2325,2484,,2484,1655,,1655,U
3740F,"Operation and Maintenance, Air Force Reserve",F,04,Administration and service-wide activities,53,Servicewide Activities,080,042A,Administration,Y,95018,,95018,98418,,98418,100998,,100998,U
3740F,"Operation and Maintenance, Air Force Reserve",F,04,Administration and service-wide activities,53,Servicewide Activities,090,042J,Recruiting and Advertising,Y,10208,,10208,10618,,10618,11620,,11620,U
3740F,"Operation and Maintenance, Air Force Reserve",F,04,Administration and service-wide activities,53,Servicewide Activities,100,042K,Military Manpower and Pers Mgmt (ARPC),Y,16084,,16084,14951,,14951,15893,,15893,U
3740F,"Operation and Maintenance, Air Force Reserve",F,04,Administration and service-wide activities,53,Servicewide Activities,110,042M,Audiovisual,Y,545,,545,521,,521,561,,561,U
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,010,011F,Aircraft Operations,Y,2624067,,2624067,2409063,100000,2509063,2744277,,2744277,U
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,020,011G,Mission Support Operations,Y,647659,,647659,633774,,633774,663367,,663367,U
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,030,011M,Depot Purchase Equipment Maintenance,Y,900498,,900498,1003171,28275,1031446,1210460,,1210460,U
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,040,011R,"Facilities Sustainment, Restoration & Modernization",Y,441474,,441474,550996,27073,578069,531241,212131,743372,U
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,050,011W,Contractor Logistics Support and System Support,Y,1306424,,1306424,1258081,195346,1453427,1632461,,1632461,U
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,060,011Z,Base Support,Y,1205193,,1205193,1108157,,1108157,1128729,,1128729,U
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,1F,Air Operations,070,011V,Cyberspace Sustainment,Y,12711,,12711,16134,,16134,26354,,26354,U
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,1G,Combat Related Operations,080,012D,Cyberspace Activities,Y,25245,,25245,122146,,122146,81720,,81720,U
3840F,"Operation and Maintenance, Air National Guard",F,04,Administration and Service-wide Activities,53,Servicewide Activities,090,042A,Administration,Y,64465,,64465,81998,,81998,64249,,64249,U
3840F,"Operation and Maintenance, Air National Guard",F,04,Administration and Service-wide Activities,53,Servicewide Activities,100,042J,Recruiting and Advertising,Y,48286,,48286,50451,,50451,47831,,47831,U
0810F,"Environmental Restoration, Air Force",F,03,Department of the Air Force,45,Closed Account Adjustments,070,042G,"Environmental Restoration, Air Force",Y,,,,396149,,396149,320060,,320060,U
0100D,"Operation and Maintenance, Defense-Wide",TJS,01,Operating forces,1P,Defensewide Activities,010,1PL1,Joint Chiefs of Staff,Y,461533,,461533,407267,,407267,534218,11530,545748,U
0100D,"Operation and Maintenance, Defense-Wide",TJS,01,Operating forces,1P,Defensewide Activities,020,8PL1,Joint Chiefs of Staff - JTEEP,Y,682528,,682528,945232,20000,965232,1393798,,1393798,U
0100D,"Operation and Maintenance, Defense-Wide",TJS,01,Operating forces,1P,Defensewide Activities,030,8PL2,Joint Chiefs of Staff - CYBER,Y,8991,,8991,8947,,8947,9103,,9103,U
0100D,"Operation and Maintenance, Defense-Wide",OSD,01,Operating forces,4G,Defensewide Activities,040,1GTM,Office of the Secretary of Defense - PSYOP,Y,249710,,249710,207636,18000,225636,325609,,325609,U
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,050,1PL6,Special Operations Command Combat Development Activities,Y,2124494,,2124494,2116337,362552,2478889,2589383,,2589383,U
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,060,1PL7,Special Operations Command Maintenance,Y,1258776,,1258776,1309751,55210,1364961,1388865,,1388865,U
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,070,1PLM,Special Operations Command Management/Operational Headquarters,Y,194646,,194646,181023,,181023,180691,,180691,U
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,080,1PLR,Special Operations Command Theater Forces,Y,3408381,,3408381,3337062,353115,3690177,3695859,,3695859,U
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,090,1PLS,Special Operations Command Cyberspace Activities,Y,52343,,52343,75473,,75473,78512,,78512,U
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,100,1PLU,Special Operations Command Intelligence,Y,1277430,,1277430,1172626,111200,1283826,1130849,,1130849,U
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,110,1PLV,Special Operations Command Operational Support,Y,1434368,,1434368,1449942,196603,1646545,1796851,,1796851,U
0100D,"Operation and Maintenance, Defense-Wide",CYBER,01,Operating forces,1P,Defensewide Activities,120,012D,Cyberspace Operations,Y,1384475,,1384475,1311113,316701,1627814,1880381,,1880381,U
0100D,"Operation and Maintenance, Defense-Wide",CYBER,01,Operating forces,1P,Defensewide Activities,130,015E,USCYBERCOM Headquarters,Y,314565,,314565,312253,31765,344018,303726,,303726,U
0100D,"Operation and Maintenance, Defense-Wide",DAU,03,Training and recruiting,3E,Defensewide Activities,140,3EV2,Defense Acquisition University,Y,184111,,184111,171825,,171825,193017,15084,208101,U
0100D,"Operation and Maintenance, Defense-Wide",TJS,03,Training and recruiting,33,"Recruiting, Other Training & Education",150,3PL1,Joint Chiefs of Staff,Y,128399,,128399,119223,,119223,173748,,173748,U
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,03,Training and recruiting,3E,Defensewide Activities,160,3EV8,Special Operations Command/Professional Development Education,Y,31345,,31345,28326,,28326,30040,,30040,U
0100D,"Operation and Maintenance, Defense-Wide",CMP,04,Administration and service-wide activities,4G,Defensewide Activities,170,4GT3,Civil Military Programs,Y,269600,,269600,256284,,256284,118488,,118488,U
0100D,"Operation and Maintenance, Defense-Wide",DCAA,04,Administration and service-wide activities,4G,Defensewide Activities,180,4GDC,Defense Contract Audit Agency - CYBER,Y,4858,,4858,3844,,3844,3825,,3825,U
0100D,"Operation and Maintenance, Defense-Wide",DCAA,04,Administration and service-wide activities,4G,Defensewide Activities,190,4GT6,Defense Contract Audit Agency,Y,654554,,654554,630538,,630538,611600,,611600,U
0100D,"Operation and Maintenance, Defense-Wide",DCMA,04,Administration and service-wide activities,4G,Defensewide Activities,200,4GTO,Defense Contract Management Agency,Y,1522859,,1522859,1431929,,1431929,1462988,152720,1615708,U
0100D,"Operation and Maintenance, Defense-Wide",DCMA,04,Administration and service-wide activities,4G,Defensewide Activities,210,4GTP,Defense Contract Management Agency - CYBER,Y,41411,,41411,42858,,42858,42367,,42367,U
0100D,"Operation and Maintenance, Defense-Wide",DCSA,04,Administration and service-wide activities,4G,Defensewide Activities,220,4GTE,Defense Counterintelligence and Security Agency,Y,901872,,901872,1113055,,1113055,1035974,,1035974,U
0100D,"Operation and Maintenance, Defense-Wide",DCSA,04,Administration and service-wide activities,4G,Defensewide Activities,240,4GTG,Defense Counterintelligence and Security Agency - CYBER,Y,9271,,9271,10558,,10558,16885,,16885,U
0100D,"Operation and Maintenance, Defense-Wide",DHRA,04,Administration and service-wide activities,4G,Defensewide Activities,250,4GSE,Defense Human Resources Activity - CYBER,Y,39004,,39004,46212,,46212,49611,,49611,U
0100D,"Operation and Maintenance, Defense-Wide",DHRA,04,Administration and service-wide activities,4G,Defensewide Activities,260,4GT8,Defense Human Resources Activity,Y,1021051,,1021051,989323,10000,999323,1505352,,1505352,U
0100D,"Operation and Maintenance, Defense-Wide",DISA,04,Administration and service-wide activities,4G,Defensewide Activities,290,4GT9,Defense Information Systems Agency,Y,2635636,,2635636,2955565,53000,3008565,3873222,12385145,16258367,U
0100D,"Operation and Maintenance, Defense-Wide",DISA,04,Administration and service-wide activities,4G,Defensewide Activities,300,4GU9,Defense Information Systems Agency - CYBER,Y,489914,,489914,539413,,539413,602017,,602017,U
0100D,"Operation and Maintenance, Defense-Wide",DLSA,04,Administration and service-wide activities,4G,Defensewide Activities,310,4GTA,Defense Legal Services Agency,Y,190176,,190176,154935,,154935,147620,,147620,U
