Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,BSA,Budget_SubActivity_BSA_Title,Budget_Line_Item,Program_Element_Budget_Line_Item_BLI_Title,Cost_Type,Cost_Type_Title,Add_Non_Add,FY_2025_Actuals_Quantity,FY_2025_Actuals_Amount,FY_2025_Reconciliation_Quantity,FY_2025_Reconciliation_Amount,FY_2025_Total_Quantity,FY_2025_Total_Amount,FY_2026_Discretionary_Enacted_Quantity,FY_2026_Discretionary_Enacted_Amount,FY_2026_PL_119_21_Spend_Plan_Quantity,FY_2026_PL_119_21_Spend_Plan_Amount,FY_2026_Total_Quantity,FY_2026_Total_Amount,FY_2027_Discretionary_Request_Quantity,FY_2027_Discretionary_Request_Amount,FY_2027_Mandatory_Quantity,FY_2027_Mandatory_Amount,FY_2027_Total_Quantity,FY_2027_Total_Amount,Classification
2035A,"Other Procurement, Army",A,03,Other support equipment,,Training Equipment,2079NA2000,Synthetic Training Environment (STE),T,NATL Guard Equip (MEMO NON ADD),Add,,7105,,,,7105,,2409,,,,2409,,7961,,,,7961,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Training Equipment,2079NA2000,Synthetic Training Environment (STE),R,Reserve Equip (MEMO NON ADD),Add,,3430,,,,3430,,2409,,,,2409,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Training Equipment,2062NA0100,"Training Devices, Nonsystem",T,NATL Guard Equip (MEMO NON ADD),Add,,8129,,,,8129,,1644,,,,1644,,8912,,,,8912,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Training Equipment,2062NA0100,"Training Devices, Nonsystem",R,Reserve Equip (MEMO NON ADD),Add,,5993,,,,5993,,799,,,,799,,5973,,,,5973,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Material Handling Equipment,5558G41001,Family Of Forklifts,T,NATL Guard Equip (MEMO NON ADD),Add,,1599,,,,1599,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Material Handling Equipment,5558G41001,Family Of Forklifts,R,Reserve Equip (MEMO NON ADD),Add,,2907,,,,2907,,5589,,,,5589,,3227,,,,3227,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Generators,0426MA9800,Generators And Associated Equip,T,NATL Guard Equip (MEMO NON ADD),Add,,32925,,,,32925,,6077,,,,6077,,14835,,,,14835,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Generators,0426MA9800,Generators And Associated Equip,R,Reserve Equip (MEMO NON ADD),Add,,23329,,,,23329,,4856,,,,4856,,7602,,,,7602,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Construction Equipment,0387R02700,CONSTRUCTION EQUIPMENT,T,NATL Guard Equip (MEMO NON ADD),Add,0,16411,,,0,16411,,35532,,,,35532,,25634,,,,25634,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Construction Equipment,0387R02700,CONSTRUCTION EQUIPMENT,R,Reserve Equip (MEMO NON ADD),Add,0,13383,,,0,13383,,32258,,,,32258,,22809,,,,22809,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Maintenance Equipment,0639G05301,Mobile Maintenance Equipment Systems,T,NATL Guard Equip (MEMO NON ADD),Add,,53667,,,,53667,,56843,,,,56843,,21829,,,,21829,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Maintenance Equipment,0639G05301,Mobile Maintenance Equipment Systems,R,Reserve Equip (MEMO NON ADD),Add,,16479,,,,16479,,12562,,,,12562,,9462,,,,9462,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Medical Equipment,7500MN1000,Combat Support Medical,T,NATL Guard Equip (MEMO NON ADD),Add,,5275,,,,5275,,15144,,,,15144,,17191,,,,17191,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Medical Equipment,7500MN1000,Combat Support Medical,R,Reserve Equip (MEMO NON ADD),Add,,5483,,,,5483,,23780,,,,23780,,13267,,,,13267,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Petroleum Equipment,4700MA6000,"Distribution Systems, Petroleum & Water",T,NATL Guard Equip (MEMO NON ADD),Add,,20249,,,,20249,,32989,,,,32989,,40891,,,,40891,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Petroleum Equipment,4700MA6000,"Distribution Systems, Petroleum & Water",R,Reserve Equip (MEMO NON ADD),Add,,10248,,,,10248,,19856,,,,19856,,40386,,,,40386,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Combat Service Support Equipment,9140MA7804,Cargo Aerial Del & Personnel Parachute System,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,4740,,,,4740,,4050,,,,4050,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Combat Service Support Equipment,9140MA7804,Cargo Aerial Del & Personnel Parachute System,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,2351,,,,2351,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Combat Service Support Equipment,9120M65800,Field Feeding Equipment,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,2025,,,,2025,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Combat Service Support Equipment,9120M65800,Field Feeding Equipment,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,180,,,,180,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Combat Service Support Equipment,8827R80800,Mobile Soldier Power,T,NATL Guard Equip (MEMO NON ADD),Add,,2353,,,,2353,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Combat Service Support Equipment,8827R80800,Mobile Soldier Power,R,Reserve Equip (MEMO NON ADD),Add,,785,,,,785,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Combat Service Support Equipment,0100MF9000,Heaters and ECU's,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,6133,,,,6133,,6389,,,,6389,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Combat Service Support Equipment,0100MF9000,Heaters and ECU's,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,2514,,,,2514,,3550,,,,3550,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Engineer (Non-Construction) Equipment,8500R12001,Family of Boats and Motors,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,1189,,,,1189,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Engineer (Non-Construction) Equipment,8500R12001,Family of Boats and Motors,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,4157,,,,4157,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Engineer (Non-Construction) Equipment,5913R63610,Render Safe Sets kits Outfits,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,1100,,,,1100,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Engineer (Non-Construction) Equipment,4868W12002,Robotics and Applique Systems,T,NATL Guard Equip (MEMO NON ADD),Add,,12288,,,,12288,,15960,,,,15960,,,,,,,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Chemical Defensive Equipment,4516M01001,CBRN Defense,T,NATL Guard Equip (MEMO NON ADD),Add,,5388,,,,5388,,8335,,,,8335,,9761,,,,9761,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Chemical Defensive Equipment,4516M01001,CBRN Defense,R,Reserve Equip (MEMO NON ADD),Add,,4617,,,,4617,,2369,,,,2369,,1317,,,,1317,U
2035A,"Other Procurement, Army",A,03,Other support equipment,,Chemical Defensive Equipment,2300M90101,Base Defense Systems (BDS),R,Reserve Equip (MEMO NON ADD),Add,,19129,,,,19129,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical C2 Systems,9971B99901,MOD of In-Svc Equipment (ENFIRE),T,NATL Guard Equip (MEMO NON ADD),Add,,1763,,,,1763,,7481,,,,7481,,7554,,,,7554,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical C2 Systems,9971B99901,MOD of In-Svc Equipment (ENFIRE),R,Reserve Equip (MEMO NON ADD),Add,,1465,,,,1465,,5490,,,,5490,,6537,,,,6537,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical C2 Systems,9266AD5070,AIR & MSL Defense Planning & Control Sys,T,NATL Guard Equip (MEMO NON ADD),Add,,62030,,,,62030,,12725,,,,12725,,30622,,,,30622,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical C2 Systems,9060B28501,Fire Support C2 Family,T,NATL Guard Equip (MEMO NON ADD),Add,,5517,,,,5517,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical Surv. (Tac Surv),9997K81500,ADVANCED SITUATIONAL AWARENESS SYSTEMS,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,136645,,,,136645,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical Surv. (Tac Surv),9997K81500,ADVANCED SITUATIONAL AWARENESS SYSTEMS,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,20622,,,,20622,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical Surv. (Tac Surv),0245W61990,JOINT BATTLE COMMAND - PLATFORM (JBC-P),T,NATL Guard Equip (MEMO NON ADD),Add,,66868,,,,66868,,22950,,,,22950,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical Surv. (Tac Surv),0245W61990,JOINT BATTLE COMMAND - PLATFORM (JBC-P),R,Reserve Equip (MEMO NON ADD),Add,,25077,,,,25077,,12079,,,,12079,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical Surv. (Tac Surv),0187AD3260,ENHANCED PORTABLE INDUCTIVE ARTILLERY FUZE SE,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,2772,,,,2772,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical Surv. (Tac Surv),0177K22001,FAMILY OF WEAPON SIGHTS (FWS),T,NATL Guard Equip (MEMO NON ADD),Add,,71923,,,,71923,,5416,,,,5416,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical Surv. (Tac Surv),0155K35110,Small Tactical Optical Rifle Mounted MLRF,T,NATL Guard Equip (MEMO NON ADD),Add,,504,,,,504,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical Surv. (Tac Surv),0140KA3500,Night Vision Devices,T,NATL Guard Equip (MEMO NON ADD),Add,,21660,,,,21660,,36839,,,,36839,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tactical Surv. (Tac Surv),0140KA3500,Night Vision Devices,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,1939,,,,1939,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tact Int Rel Act (TIARA),9556B87000,COLLECTION CAPABILITY,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,218,,,,218,,734,,,,734,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Elect Equip - Tact Int Rel Act (TIARA),9556B87000,COLLECTION CAPABILITY,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,353,,,,353,,1183,,,,1183,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Information Security,0125B96000,Communications Security (COMSEC),T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,18895,,,,18895,,21826,,,,21826,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Information Security,0125B96000,Communications Security (COMSEC),R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,12597,,,,12597,,14549,,,,14549,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Information Security,0122TA0600,Information System Security Program-ISSP,T,NATL Guard Equip (MEMO NON ADD),Add,,847,,,,847,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Information Security,0122TA0600,Information System Security Program-ISSP,R,Reserve Equip (MEMO NON ADD),Add,,968,,,,968,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Combat Communications,9164BU8100,COTS Communications Equipment,T,NATL Guard Equip (MEMO NON ADD),Add,,7265,,,,7265,,6634,,,,6634,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Combat Communications,9164BU8100,COTS Communications Equipment,R,Reserve Equip (MEMO NON ADD),Add,,4363,,,,4363,,2645,,,,2645,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Combat Communications,8563B58601,Unified Command Suite,T,NATL Guard Equip (MEMO NON ADD),Add,,20445,,,,20445,,20010,,,,20010,,20187,,,,20187,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Combat Communications,7264B24400,ARMY LINK 16 SYSTEMS,T,NATL Guard Equip (MEMO NON ADD),Add,,28624,,,,28624,,27647,,,,27647,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Combat Communications,7264B24400,ARMY LINK 16 SYSTEMS,R,Reserve Equip (MEMO NON ADD),Add,,3181,,,,3181,,628,,,,628,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - C3 System,8151B70000,COE Tactical Server Infrastructure (TSI),T,NATL Guard Equip (MEMO NON ADD),Add,,12220,,,,12220,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - C3 System,8151B70000,COE Tactical Server Infrastructure (TSI),R,Reserve Equip (MEMO NON ADD),Add,,3755,,,,3755,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Satellite Communications,2912B56000,SATELLITE COMMUNICATIONS,T,NATL Guard Equip (MEMO NON ADD),Add,0,2900,,,0,2900,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Satellite Communications,2912B56000,SATELLITE COMMUNICATIONS,R,Reserve Equip (MEMO NON ADD),Add,0,853,,,0,853,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Joint Communications,1996B11500,C2 TRANSPORT,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,61046,,,,61046,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Joint Communications,1996B11500,C2 TRANSPORT,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,11776,,,,11776,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Joint Communications,1992B11400,C2 INFRASTRUCTURE,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,38468,,,,38468,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Joint Communications,1992B11400,C2 INFRASTRUCTURE,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,,,,,,,,15002,,,,15002,U
2035A,"Other Procurement, Army",A,02,Communications and electronics equipment,,Comm - Joint Communications,1989B11200,TACTICAL NETWORK COMMUNICATION,T,NATL Guard Equip (MEMO NON ADD),Add,0,31080,,,0,31080,,938,,,,938,,,,,,,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,8992DA0924,Modification Of In Svc Equip,T,NATL Guard Equip (MEMO NON ADD),Add,,47689,,,,47689,,17500,,,,17500,,1547,,,,1547,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,8992DA0924,Modification Of In Svc Equip,R,Reserve Equip (MEMO NON ADD),Add,,34315,,,,34315,,10000,,,,10000,,1548,,,,1548,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,8309DA0500,Family Of Heavy Tactical Vehicles (FHTV),T,NATL Guard Equip (MEMO NON ADD),Add,,85139,,,,85139,,66250,,,,66250,,42893,,,,42893,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,8309DA0500,Family Of Heavy Tactical Vehicles (FHTV),R,Reserve Equip (MEMO NON ADD),Add,,92579,,,,92579,,56688,,,,56688,,36532,,,,36532,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,7000D15800,Firetrucks & Associated Firefighting Equip,T,NATL Guard Equip (MEMO NON ADD),Add,,,,,,,,1277,,,,1277,,2559,,,,2559,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,6866D15500,Family Of Medium Tactical Veh (FMTV),T,NATL Guard Equip (MEMO NON ADD),Add,,21364,,,,21364,,6667,,,,6667,,32719,,,,32719,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,6866D15500,Family Of Medium Tactical Veh (FMTV),R,Reserve Equip (MEMO NON ADD),Add,,4901,,,,4901,,1097,,,,1097,,5112,,,,5112,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,5862D16001,"TRUCK, DUMP, 20T (CCE)",T,NATL Guard Equip (MEMO NON ADD),Add,,22862,,,,22862,,14622,,,,14622,,5666,,,,5666,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,5862D16001,"TRUCK, DUMP, 20T (CCE)",R,Reserve Equip (MEMO NON ADD),Add,,12104,,,,12104,,,,,,,,5666,,,,5666,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,5731D15610,JOINT LIGHT TACTICAL VEHICLE FAMILY OF VEHICL,T,NATL Guard Equip (MEMO NON ADD),Add,,5667,,,,5667,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,5731D15610,JOINT LIGHT TACTICAL VEHICLE FAMILY OF VEHICL,R,Reserve Equip (MEMO NON ADD),Add,,3031,,,,3031,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,3636D10000,ARNG HMMWV Modernization Program,T,NATL Guard Equip (MEMO NON ADD),Add,,90000,,,,90000,,100000,,,,100000,,,,,,,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,3446D15400,HI MOB MULTI-PURP WHLD VEH (HMMWV),R,Reserve Equip (MEMO NON ADD),Add,,50000,,,,50000,,,,,,,,,,,,,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,0896D03900,FAMILY OF SEMITRAILERS,T,NATL Guard Equip (MEMO NON ADD),Add,0,22429,,,0,22429,,20277,,,,20277,,22644,,,,22644,U
2035A,"Other Procurement, Army",A,01,Tactical and support vehicles,,Tactical Vehicles,0896D03900,FAMILY OF SEMITRAILERS,R,Reserve Equip (MEMO NON ADD),Add,0,33283,,,0,33283,,50373,,,,50373,,49884,,,,49884,U
2035A,"Other Procurement, Army",A,04,Spares and repair parts,,OPA2,0200BS9100,INITIAL SPARES - C&E,T,NATL Guard Equip (MEMO NON ADD),Add,,582,,,,582,,570,,,,570,,600,,,,600,U
2035A,"Other Procurement, Army",A,04,Spares and repair parts,,OPA2,0200BS9100,INITIAL SPARES - C&E,R,Reserve Equip (MEMO NON ADD),Add,,387,,,,387,,380,,,,380,,380,,,,380,U
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,,Modification of Aircraft,0522,Adversary,R,Reserve Equip (MEMO NON ADD),Add,0,49724,,,0,49724,0,21535,,,0,21535,0,24732,,,0,24732,U
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,,Modification of Aircraft,0528,H-53 Series,R,Reserve Equip (MEMO NON ADD),Add,0,1088,,,0,1088,0,1074,,,0,1074,0,1065,,,0,1065,U
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,,Modification of Aircraft,0560,C-130 Series,R,Reserve Equip (MEMO NON ADD),Add,0,64332,,,0,64332,0,77860,,,0,77860,0,109763,,,0,109763,U
1506N,"Aircraft Procurement, Navy",N,05,Modification of aircraft,,Modification of Aircraft,0562,Cargo/Transport A/C Series,R,Reserve Equip (MEMO NON ADD),Add,0,11145,,,0,11145,0,7197,,,0,7197,0,17793,,,0,17793,U
1506N,"Aircraft Procurement, Navy",N,04,Other aircraft,,Other Aircraft,0416,KC-130J,R,Reserve Equip (MEMO NON ADD),Add,2,294406,,,2,294406,4,518017,1,145000,5,663017,11,1601906,7,1190000,18,2791906,U
1508N,"Procurement of Ammunition, Navy and Marine Corps",N,01,"Procurement of Ammunition, Navy",,Navy Ammunition,0335,Small Arms & Landing Party Ammo,R,Reserve Equip (MEMO NON ADD),Add,0,453,,,0,453,0,459,,,0,459,0,474,,,0,474,U
1810N,"Other Procurement, Navy",N,07,Personnel and command support equipment,,Command Support Equipment,8120,C4ISR Equipment,R,Reserve Equip (MEMO NON ADD),Add,0,1046,,,0,1046,0,1076,,,0,1076,,,,,,,U
1109N,"Procurement, Marine Corps",N,05,Support vehicles,,Tactical Vehicles,5050,Motor Transport Modifications,R,Reserve Equip (MEMO NON ADD),Add,0,253,,,0,253,0,2159,,,0,2159,0,2211,,,0,2211,U
1109N,"Procurement, Marine Corps",N,06,Engineer and other equipment,,Engineer and Other Equipment,6366,Power Equipment Assorted,R,Reserve Equip (MEMO NON ADD),Add,0,5291,,,0,5291,0,2809,,,0,2809,0,5468,,,0,5468,U
1109N,"Procurement, Marine Corps",N,06,Engineer and other equipment,,Engineer and Other Equipment,6518,Amphibious Support Equipment,R,Reserve Equip (MEMO NON ADD),Add,0,229,,,0,229,0,231,,,0,231,0,237,,,0,237,U
1109N,"Procurement, Marine Corps",N,06,Engineer and other equipment,,General Property,6544,Family of Construction Equipment,R,Reserve Equip (MEMO NON ADD),Add,0,2669,,,0,2669,0,1681,,,0,1681,0,2730,,,0,2730,U
1109N,"Procurement, Marine Corps",N,02,Weapons and combat vehicles,,Artillery and Other Weapons,2185,155mm Lightweight Towed Howitzer,R,Reserve Equip (MEMO NON ADD),Add,0,6,,,0,6,0,3,,,0,3,0,8,,,0,8,U
1109N,"Procurement, Marine Corps",N,02,Weapons and combat vehicles,,Tracked Combat Vehicles,2021,AAV7A1 PIP,R,Reserve Equip (MEMO NON ADD),Add,0,495,,,0,495,0,21,,,0,21,,,,,,,U
1109N,"Procurement, Marine Corps",N,03,Guided missiles and equipment,,Guided Missiles,3011,Anti-Armor Missile-Javelin,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,0,411,,,0,411,0,419,,,0,419,U
1109N,"Procurement, Marine Corps",N,04,Communications and electronics equipment,,Command and Control System (Non-Tel),4620,Items Under $5 Million (Comm & Elec),R,Reserve Equip (MEMO NON ADD),Add,,,,,,,0,36,,,0,36,0,348,,,0,348,U
1109N,"Procurement, Marine Corps",N,04,Communications and electronics equipment,,Intell/Comm Equipment (Non-Tel),4733,Fire Support System,R,Reserve Equip (MEMO NON ADD),Add,0,768,,,0,768,0,764,,,0,764,0,1138,,,0,1138,U
1109N,"Procurement, Marine Corps",N,04,Communications and electronics equipment,,Other Support (Non-Tel),4631,Command Post Systems,R,Reserve Equip (MEMO NON ADD),Add,,,,,,,0,33,,,0,33,0,34,,,0,34,U
1109N,"Procurement, Marine Corps",N,04,Communications and electronics equipment,,Other Support (Non-Tel),4633,Radio Systems,R,Reserve Equip (MEMO NON ADD),Add,0,94,,,0,94,0,92,,,0,92,0,100,,,0,100,U
1109N,"Procurement, Marine Corps",N,04,Communications and electronics equipment,,Other Support (Non-Tel),4634,Comm Switching & Control Systems,R,Reserve Equip (MEMO NON ADD),Add,0,9,,,0,9,0,303,,,0,303,,,,,,,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Strategic Aircraft,B05200,B-52,R,Reserve Equip (MEMO NON ADD),Add,,37928,,,,37928,,28038,,,,28038,,24418,,,,24418,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Strategic Aircraft,LAIRCM,Large Aircraft Infrared Countermeasures,R,Reserve Equip (MEMO NON ADD),Add,,582,,,,582,,,,,,,,,,,,,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Strategic Aircraft,LAIRCM,Large Aircraft Infrared Countermeasures,T,NATL Guard Equip (MEMO NON ADD),Add,,17,,,,17,,,,,,,,,,,,,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Tactical Aircraft,F01600,F-16 Modifications,R,Reserve Equip (MEMO NON ADD),Add,,144,,,,144,,5130,,,,5130,,4647,,,,4647,U
3010F,"Aircraft Procurement, Air Force",F,07,Aircraft support equipment and facilities,,Common Support Equipment,000071,Aircraft Replacement Support Equip,T,NATL Guard Equip (MEMO NON ADD),Add,,54004,,,,54004,,5034,,,,5034,,5144,,,,5144,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Tactical Aircraft,F01600,F-16 Modifications,T,NATL Guard Equip (MEMO NON ADD),Add,,72430,,,,72430,,71393,,,,71393,,51980,,,,51980,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Tactical Aircraft,F02200,F-22A,T,NATL Guard Equip (MEMO NON ADD),Add,,174413,,,,174413,,191517,,,,191517,,210518,,,,210518,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Airlift Aircraft,C00500,C-5,R,Reserve Equip (MEMO NON ADD),Add,,1772,,,,1772,,5434,,,,5434,,,,,,,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Airlift Aircraft,C01700,C-17A,R,Reserve Equip (MEMO NON ADD),Add,,12763,,,,12763,,1239,,,,1239,,15262,,,,15262,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Airlift Aircraft,C01700,C-17A,T,NATL Guard Equip (MEMO NON ADD),Add,,23769,,,,23769,,4780,,,,4780,,19596,,,,19596,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Other Aircraft,C13000,C-130,R,Reserve Equip (MEMO NON ADD),Add,,10432,,,,10432,,22001,,,,22001,,6297,,,,6297,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Other Aircraft,C13000,C-130,T,NATL Guard Equip (MEMO NON ADD),Add,,17319,,,,17319,,21624,,,,21624,,17115,,,,17115,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Other Aircraft,C1300J,C-130J Mods,T,NATL Guard Equip (MEMO NON ADD),Add,,12000,,,,12000,,,,,,,,,,,,,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Other Aircraft,C13500,C-135,R,Reserve Equip (MEMO NON ADD),Add,,15757,,,,15757,,11000,,,,11000,,17443,,,,17443,U
3010F,"Aircraft Procurement, Air Force",F,05,Modification of inservice aircraft,,Other Aircraft,C13500,C-135,T,NATL Guard Equip (MEMO NON ADD),Add,,37234,,,,37234,,29035,,,,29035,,31986,,,,31986,U
3010F,"Aircraft Procurement, Air Force",F,07,Aircraft support equipment and facilities,,Common Support Equipment,000071,Aircraft Replacement Support Equip,R,Reserve Equip (MEMO NON ADD),Add,,31640,,,,31640,,3356,,,,3356,,3430,,,,3430,U
3011F,"Procurement of Ammunition, Air Force",F,01,Ammunition,,Other Items,355990,"Items Less Than $5,000,000",T,NATL Guard Equip (MEMO NON ADD),Add,,947,,,,947,,,,,,,,,,,,,U
