Account,Account_Title,Organization,Budget_Activity,Budget_Activity_Title,Line_Number,BSA,Budget_SubActivity_BSA_Title,Budget_Line_Item,Budget_Line_Item_BLI_Title,Cost_Type,Cost_Type_Title,Add_Non_Add,FY_2025_Actuals_Quantity,FY_2025_Actuals_Amount,FY_2025_Reconcilation_Quantity,FY_2025_Reconciliation_Amount,FY_2025_Total_Quantity,FY_2025_Total_Amount,FY_2026_Discretionary_Enacted_Quantity,FY_2026_Discretionary_Enacted_Amount,FY_2026_PL_119_21_Spend_Plan_Quantity,FY_2026_PL_119_21_Spend_Plan_Amount,FY_2026_Total_Quantity,FY_2026_Total_Amount,FY_2027_Discretionary_Request_Quantity,FY_2027_Discretionary_Request_Amount,FY_2027_Mandatory_Quantity,FY_2027_Mandatory_Amount,FY_2027_Total_Quantity,FY_2027_Total_Amount,Classification
2031A,"Aircraft Procurement, Army",A,01,Aircraft,1,10,Fixed Wing,9670A00005,MQ-1 UAV,A,Weapon System Cost,Add,8,240000,,,8,240000,8,240000,,,8,240000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,2,10,Fixed Wing,9672A00510,Future UAS Family,A,Weapon System Cost,Add,,57902,,,,57902,,71459,,26000,,97459,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,3,10,Fixed Wing,9678A12500,SMALL UNMANNED AIRCRAFT SYSTEMS,A,Weapon System Cost,Add,,190914,,,,190914,,426029,,300000,,726029,,291472,,,,291472,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,4,10,Fixed Wing,9681A14000,UNMANNED AIRCRAFT SYSTEMS (UAS),A,Weapon System Cost,Add,,,,,,,,,,,,,,52398,,,,52398,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,5,10,Fixed Wing,9697A12400,"HADES PLATFORM, PAYLOADS/PED, AND INTEGRATION",A,Weapon System Cost,Add,,,,,,,,26850,,,,26850,,227569,,,,227569,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,6,20,Rotary,4742A05001,UH-72 LAKOTA LIGHT UTILITY HELICOPTER,A,Weapon System Cost,Add,,10000,,,,10000,,,,98000,,98000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,7,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,A,Weapon System Cost,Add,31,667759,,,31,667759,7,361669,,,7,361669,,1552,,,,1552,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,7,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,B,Less: Advance Procurement (PY),Add,,-110360,,,,-110360,,,,,,,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,9,20,Rotary,6761A12000,Future Vertical Lift Family of Systems,C,Advance Procurement (CY),Add,,,,,,,,,,,,,,127217,,,,127217,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,9,20,Rotary,6761A12000,Future Vertical Lift Family of Systems,C,C (FY 2027 for FY 2028) (M),Non-Add,,,,,,,,,,,,,,127217,,,,127217,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,10,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),A,Weapon System Cost,Add,26,861548,,,26,861548,29,971230,,,29,971230,1,104257,,,1,104257,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,10,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),B,Less: Advance Procurement (PY),Add,,-92494,,,,-92494,,-58170,,,,-58170,,-65000,,,,-65000,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,11,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),C,Advance Procurement (CY),Add,,58170,,,,58170,,65000,,,,65000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,11,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),C,C (FY 2025 for FY 2026) (M),Non-Add,,58170,,,,58170,,,,,,,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,11,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),C,C (FY 2026 for FY 2027) (M),Non-Add,,,,,,,,65000,,,,65000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,12,20,Rotary,6775A05101,CH-47 Helicopter,A,Weapon System Cost,Add,11,718634,,,11,718634,11,628798,,,11,628798,5,272066,,,5,272066,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,12,20,Rotary,6775A05101,CH-47 Helicopter,B,Less: Advance Procurement (PY),Add,,-18936,,,,-18936,,,,,,,,-61421,,,,-61421,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,13,20,Rotary,6775A05101,CH-47 Helicopter,C,Advance Procurement (CY),Add,,,,,,,,61421,,,,61421,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,13,20,Rotary,6775A05101,CH-47 Helicopter,C,C (FY 2026 for FY 2027) (M),Non-Add,,,,,,,,61421,,,,61421,,,,,,,U
2031A,"Aircraft Procurement, Army",A,01,Aircraft,14,20,Rotary,9990A19900,Spectrum Army SUAS,A,Weapon System Cost,Add,,1824,,,,1824,,,,,,,,,,,,,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,15,10,Modification of Aircraft,0023A01001,MQ-1 PAYLOAD,A,Weapon System Cost,Add,,14086,,,,14086,,,,,,,,53190,,,,53190,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,16,10,Modification of Aircraft,0756AA6601,Gray Eagle Mods2,A,Weapon System Cost,Add,,23865,,,,23865,,12351,,,,12351,,2556,,,,2556,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,17,10,Modification of Aircraft,2706AA6605,AH-64 MODS,A,Weapon System Cost,Add,,93826,,,,93826,,131236,,,,131236,,251645,,,,251645,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,18,10,Modification of Aircraft,2724A12700,SCALABLE CONTROL INTERFACE (SCI),A,Weapon System Cost,Add,,,,,,,,1257,,,,1257,,2061,,,,2061,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,19,10,Modification of Aircraft,3264AA0252,CH-47 Cargo Helicopter Mods (MYP),A,Weapon System Cost,Add,,38925,,,,38925,,17709,,,,17709,,108408,,,,108408,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,20,10,Modification of Aircraft,6949AA0480,Utility Helicopter Mods,A,Weapon System Cost,Add,,39565,,,,39565,,38659,,,,38659,,120013,,,,120013,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,21,10,Modification of Aircraft,8658AA0712,Network And Mission Plan,A,Weapon System Cost,Add,,49862,,,,49862,,43472,,,,43472,,29235,,,,29235,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,22,10,Modification of Aircraft,8659AA0723,"Comms, Nav Surveillance",A,Weapon System Cost,Add,,61362,,,,61362,,11566,,,,11566,,14384,,,,14384,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,23,10,Modification of Aircraft,8660A00713,Degraded Visual Environment,A,Weapon System Cost,Add,,3839,,,,3839,,33000,,,,33000,,,,,,,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,24,10,Modification of Aircraft,8662A01006,Aviation ASSURED PNT,A,Weapon System Cost,Add,,69161,,,,69161,,49475,,,,49475,,55055,,,,55055,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,25,10,Modification of Aircraft,8859AA0711,GATM Rollup,A,Weapon System Cost,Add,,4842,,,,4842,,4651,,,,4651,,,,,,,U
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,26,10,Modification of Aircraft,9556A01002,UAS MODS,A,Weapon System Cost,Add,,2265,,,,2265,,,,,,,,,,,,,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,27,10,Ground Support Avionics,3632AZ3504,Aircraft Survivability Equipment,A,Weapon System Cost,Add,,139331,,,,139331,,145297,,16130,,161427,,125050,,,,125050,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,28,10,Ground Support Avionics,5397AZ3517,CMWS,A,Weapon System Cost,Add,,51646,,,,51646,,38419,,,,38419,,21511,,,,21511,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,29,10,Ground Support Avionics,5399AZ3537,Common Infrared Countermeasures (CIRCM),A,Weapon System Cost,Add,100,257854,,,100,257854,71,225647,,,71,225647,36,140636,,,36,140636,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,30,30,Other Support,5212AZ3100,Common Ground Equipment,A,Weapon System Cost,Add,,31937,,,,31937,,37489,,,,37489,,29778,,,,29778,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,31,30,Other Support,6380AZ3110,Aircrew Integrated Systems,A,Weapon System Cost,Add,,14478,,,,14478,,14986,,,,14986,,15229,,,,15229,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,32,30,Other Support,6818AA0050,Air Traffic Control,A,Weapon System Cost,Add,,27428,,,,27428,,24213,,,,24213,,11044,,,,11044,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,33,30,Other Support,9154A50100,"Launcher, 2.75 Rocket",A,Weapon System Cost,Add,,3815,,,,3815,,1611,,,,1611,,3864,,,,3864,U
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,34,30,Other Support,9157J01200,Launcher Guided Missile: Longbow Hellfire XM2,A,Weapon System Cost,Add,,22023,,,,22023,,,,,,,,,,,,,U
2032A,"Missile Procurement, Army",A,02,Other missiles,1,10,Surface-to-Air Missile System,7265C12000,Lower Tier Air and Missile Defense (AMD)  Sen,A,Weapon System Cost,Add,,387629,,,,387629,,532427,,,,532427,,2036358,,,,2036358,U
2032A,"Missile Procurement, Army",A,02,Other missiles,2,10,Surface-to-Air Missile System,8046C20200,TERMINAL HIGH ALTITUDE AREA DEFENSE (THAAD),A,Weapon System Cost,Add,,,,,,,,,,,,,27,907162,830,10528043,857,11435205,U
2032A,"Missile Procurement, Army",A,02,Other missiles,3,10,Surface-to-Air Missile System,8082C14300,M-SHORAD - Procurement,A,Weapon System Cost,Add,5,69091,,,5,69091,29,631114,2,80850,31,711964,14,712690,,,14,712690,U
2032A,"Missile Procurement, Army",A,02,Other missiles,4,10,Surface-to-Air Missile System,8260C53101,MSE Missile,A,Weapon System Cost,Add,194,1031060,,,194,1031060,310,1571905,47,200000,357,1771905,244,1297528,2554,10931919,2798,12229447,U
2032A,"Missile Procurement, Army",A,02,Other missiles,4,10,Surface-to-Air Missile System,8260C53101,MSE Missile,B,Less: Advance Procurement (PY),Add,,-126000,,,,-126000,,-126000,,,,-126000,,,,,,,U
2032A,"Missile Procurement, Army",A,02,Other missiles,5,10,Surface-to-Air Missile System,8540C29600,PRECISION STRIKE MISSILE (PRSM),A,Weapon System Cost,Add,338,491497,,,338,491497,108,268726,,277816,108,546542,680,1226526,454,692000,1134,1918526,U
2032A,"Missile Procurement, Army",A,02,Other missiles,6,10,Surface-to-Air Missile System,8930C61001,INDIRECT FIRE PROTECTION CAPABILITY INC 2-I,A,Weapon System Cost,Add,,465244,,,,465244,,719689,,,,719689,,1626004,,,,1626004,U
2032A,"Missile Procurement, Army",A,02,Other missiles,7,10,Surface-to-Air Missile System,9214C81200,MID-RANGE CAPABILITY (MRC),A,Weapon System Cost,Add,,152637,,,,152637,,82407,,,,82407,,370351,,2331282,,2701633,U
2032A,"Missile Procurement, Army",A,02,Other missiles,8,10,Surface-to-Air Missile System,9216C82200,COUNTER SMALL UNMANNED AERIAL SYSTEM INTERCEP,A,Weapon System Cost,Add,0,329227,,,0,329227,,,,,,,,,,,,,U
2032A,"Missile Procurement, Army",A,02,Other missiles,9,20,Air-To-Surface Missile System,2605C70302,Joint Air-to-Ground MSLS (JAGM),A,Weapon System Cost,Add,1000,334102,,,1000,334102,178,84667,,,178,84667,269,104059,,,269,104059,U
2032A,"Missile Procurement, Army",A,02,Other missiles,11,20,Air-To-Surface Missile System,2611C72100,LONG-RANGE HYPERSONIC WEAPON,A,Weapon System Cost,Add,,669178,,,,669178,,347845,,113932,,461777,,301777,,,,301777,U
2032A,"Missile Procurement, Army",A,02,Other missiles,12,30,Anti-Tank/Assault Missile Sys,0648CC0007,Javelin (AAWS-M) System Summary,A,Weapon System Cost,Add,752,296021,,,752,296021,649,329205,,,649,329205,1316,417031,,,1316,417031,U
2032A,"Missile Procurement, Army",A,02,Other missiles,13,30,Anti-Tank/Assault Missile Sys,2104C59300,TOW 2 System Summary,A,Weapon System Cost,Add,551,122295,,,551,122295,0,11731,,,0,11731,,,,,,,U
2032A,"Missile Procurement, Army",A,02,Other missiles,14,30,Anti-Tank/Assault Missile Sys,6005C64400,Guided MLRS Rocket (GMLRS),A,Weapon System Cost,Add,4788,1199177,,,4788,1199177,5490,1155071,,,5490,1155071,0,1058093,,,0,1058093,U
2032A,"Missile Procurement, Army",A,02,Other missiles,14,30,Anti-Tank/Assault Missile Sys,6005C64400,Guided MLRS Rocket (GMLRS),B,Less: Advance Procurement (PY),Add,,-30913,,,,-30913,,-30000,,,,-30000,,-43156,,,,-43156,U
2032A,"Missile Procurement, Army",A,02,Other missiles,15,30,Anti-Tank/Assault Missile Sys,6005C64400,Guided MLRS Rocket (GMLRS),C,Advance Procurement (CY),Add,,30000,,,,30000,,43156,,,,43156,,49106,,,,49106,U
2032A,"Missile Procurement, Army",A,02,Other missiles,15,30,Anti-Tank/Assault Missile Sys,6005C64400,Guided MLRS Rocket (GMLRS),C,C (FY 2025 for FY 2026) (M),Non-Add,,30000,,,,30000,,,,,,,,,,,,,U
2032A,"Missile Procurement, Army",A,02,Other missiles,15,30,Anti-Tank/Assault Missile Sys,6005C64400,Guided MLRS Rocket (GMLRS),C,C (FY 2026 for FY 2027) (M),Non-Add,,,,,,,,43156,,,,43156,,,,,,,U
2032A,"Missile Procurement, Army",A,02,Other missiles,15,30,Anti-Tank/Assault Missile Sys,6005C64400,Guided MLRS Rocket (GMLRS),C,C (FY 2027 for FY 2028) (M),Non-Add,,,,,,,,,,,,,,49106,,,,49106,U
2032A,"Missile Procurement, Army",A,02,Other missiles,16,30,Anti-Tank/Assault Missile Sys,6060C65405,MLRS Reduced Range Practice Rockets (RRPR),A,Weapon System Cost,Add,3720,30230,,,3720,30230,4002,32339,,,4002,32339,600,7412,,,600,7412,U
2032A,"Missile Procurement, Army",A,02,Other missiles,17,30,Anti-Tank/Assault Missile Sys,6200C02901,High Mobility Artillery Rocket System (HIMARS,A,Weapon System Cost,Add,18,175539,,,18,175539,6,61503,,,6,61503,96,745682,,,96,745682,U
2032A,"Missile Procurement, Army",A,02,Other missiles,18,30,Anti-Tank/Assault Missile Sys,6472C98510,ARMY TACTICAL MSL SYS (ATACMS) - SYS SUM,A,Weapon System Cost,Add,0,113280,,,0,113280,,,,,,,,,,,,,U
2032A,"Missile Procurement, Army",A,02,Other missiles,19,30,Anti-Tank/Assault Missile Sys,6870C88001,LETHAL MINIATURE AERIAL MISSILE SYSTEM (LMAMS,A,Weapon System Cost,Add,,163744,,,,163744,,,,,,,,,,,,,U
2032A,"Missile Procurement, Army",A,02,Other missiles,20,30,Anti-Tank/Assault Missile Sys,6872C91500,FAMILY OF LOW ALTITUDE UNMANNED SYSTEMS,A,Weapon System Cost,Add,,345491,,,,345491,,67816,,,,67816,,139191,,,,139191,U
2032A,"Missile Procurement, Army",A,03,Modification of missiles,21,10,Modifications,0962C50700,Patriot Mods,A,Weapon System Cost,Add,,171958,,,,171958,,757800,,,,757800,,796837,,,,796837,U
2032A,"Missile Procurement, Army",A,03,Modification of missiles,22,10,Modifications,2684C20000,Stinger Mods,A,Weapon System Cost,Add,,649475,,,,649475,,428935,,,,428935,,10786,,,,10786,U
2032A,"Missile Procurement, Army",A,03,Modification of missiles,23,10,Modifications,2690CE8710,AVENGER MODS,A,Weapon System Cost,Add,,2321,,,,2321,,,,,,,,6823,,,,6823,U
2032A,"Missile Procurement, Army",A,03,Modification of missiles,24,10,Modifications,6552C67500,MLRS Mods,A,Weapon System Cost,Add,,320591,,,,320591,,243470,,,,243470,,289496,,,,289496,U
2032A,"Missile Procurement, Army",A,03,Modification of missiles,25,10,Modifications,6580C67501,HIMARS Modifications,A,Weapon System Cost,Add,,49581,,,,49581,,54005,,,,54005,,54363,,,,54363,U
2032A,"Missile Procurement, Army",A,04,Spares and repair parts,26,10,Spares and Repair Parts,1242CA0250,Spares And Repair Parts,A,Weapon System Cost,Add,,6695,,,,6695,,6651,,,,6651,,6698,,,,6698,U
2032A,"Missile Procurement, Army",A,05,Support equipment and facilities,27,10,Support Equipment & Facilities,1242C93000,Air Defense Targets,A,Weapon System Cost,Add,,7034,,,,7034,,12801,,,,12801,,9613,,,,9613,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,1,10,Tracked Combat Vehicles,2944G80819,Armored Multi Purpose Vehicle (AMPV),A,Weapon System Cost,Add,245,1466011,,,245,1466011,49,415331,38,250000,87,665331,196,1150759,,,196,1150759,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,3,10,Tracked Combat Vehicles,4872G84900,ASSAULT BREACHER VEHICLE (ABV),A,Weapon System Cost,Add,,5681,,,,5681,,4079,,,,4079,,17807,,,,17807,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,4,10,Tracked Combat Vehicles,7181G80820,M10 BOOKER,A,Weapon System Cost,Add,0,439111,,,0,439111,0,6479,,,0,6479,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,5,10,Tracked Combat Vehicles,7241G86000,XM30 MECHANIZED INFANTRY COMBAT VEHICLE (MICV,A,Weapon System Cost,Add,,,,,,,,,,,,,19,546990,,,19,546990,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,6,20,Modification of Tracked Combat Vehicles,0230GM0100,Stryker (Mod),A,Weapon System Cost,Add,,52471,,,,52471,,,,,,,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,7,20,Modification of Tracked Combat Vehicles,0363G85200,Stryker Upgrade,A,Weapon System Cost,Add,0,418097,,,0,418097,0,28558,50,230000,50,258558,,45725,,,,45725,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,8,20,Modification of Tracked Combat Vehicles,1382GZ3300,BRADLEY FIRE SUPPORT TEAM (BFIST) VEHICLE,A,Weapon System Cost,Add,,7255,,,,7255,,4684,,,,4684,,4863,,,,4863,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,9,20,Modification of Tracked Combat Vehicles,1678GZ2400,Bradley Program (MOD),A,Weapon System Cost,Add,,439489,,,,439489,,157183,,,,157183,,161979,,,,161979,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,10,20,Modification of Tracked Combat Vehicles,2072GA0400,M109 FOV Modifications,A,Weapon System Cost,Add,,42574,,,,42574,,82537,,,,82537,,74070,,,,74070,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,11,20,Modification of Tracked Combat Vehicles,2073GZ0410,Paladin Integrated Management (PIM),A,Weapon System Cost,Add,39,760361,,,39,760361,40,715000,,,40,715000,0,84193,,,0,84193,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,12,20,Modification of Tracked Combat Vehicles,3700GA0570,IMPROVED RECOVERY VEHICLE (M88 HERCULES),A,Weapon System Cost,Add,14,240657,,,14,240657,6,80770,,,6,80770,10,106036,,,10,106036,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,13,20,Modification of Tracked Combat Vehicles,5225GZ3001,Joint Assault Bridge,A,Weapon System Cost,Add,28,174779,,,28,174779,20,129555,,,20,129555,18,163354,,,18,163354,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,14,20,Modification of Tracked Combat Vehicles,6500GA0750,Abrams Upgrade Program,A,Weapon System Cost,Add,30,903536,,,30,903536,33,778478,,,33,778478,22,654969,,,22,654969,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,14,20,Modification of Tracked Combat Vehicles,6500GA0750,Abrams Upgrade Program,B,Less: Advance Procurement (PY),Add,,-102440,,,,-102440,,,,,,,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,15,20,Modification of Tracked Combat Vehicles,6652GM1900,VEHICLE PROTECTION SYSTEMS (VPS),A,Weapon System Cost,Add,,133492,,,,133492,,107833,,,,107833,,16134,,,,16134,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,16,10,Weapons & Other Combat Vehicles,0418GN0003,Personal Defense Weapon (Roll),A,Weapon System Cost,Add,0,4869,,,0,4869,0,1002,,,0,1002,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,17,10,Weapons & Other Combat Vehicles,2472G13000,M240 Medium Machine Gun (7.62mm),A,Weapon System Cost,Add,,27851,,,,27851,,6005,,,,6005,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,18,10,Weapons & Other Combat Vehicles,5000GB2000,"Machine Gun, Cal .50 M2 Roll",A,Weapon System Cost,Add,,3,,,,3,,4,,,,4,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,19,10,Weapons & Other Combat Vehicles,6580G02200,Mortar Systems,A,Weapon System Cost,Add,,73408,,,,73408,,5807,,,,5807,,3575,,,,3575,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,20,10,Weapons & Other Combat Vehicles,6659G08100,LOCATION & AZIMUTH DETERMINATION SYSTEM (LADS,A,Weapon System Cost,Add,,2543,,,,2543,,9477,,,,9477,,10420,,,,10420,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,21,10,Weapons & Other Combat Vehicles,8181G01501,XM320 Grenade Launcher Module (GLM),A,Weapon System Cost,Add,,20925,,,,20925,,6000,,,,6000,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,22,10,Weapons & Other Combat Vehicles,8190G01506,Precision Sniper Rifle,A,Weapon System Cost,Add,,5910,,,,5910,,1853,,,,1853,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,23,10,Weapons & Other Combat Vehicles,8201G13501,Carbine,A,Weapon System Cost,Add,,8003,,,,8003,,,,,,,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,24,10,Weapons & Other Combat Vehicles,8205G14510,Next Generation Squad Weapon,A,Weapon System Cost,Add,,394720,,,,394720,,358907,,,,358907,,372641,,,,372641,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,25,10,Weapons & Other Combat Vehicles,8310G04700,Common Remotely Operated Weapons Station,A,Weapon System Cost,Add,,747,,,,747,,3000,,,,3000,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,26,10,Weapons & Other Combat Vehicles,8635G15325,Handgun,A,Weapon System Cost,Add,,34,,,,34,,7,,,,7,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,27,20,Mod of Weapons and Other Combat Veh,3000GB3000,MK-19 Grenade Machine Gun MODS,A,Weapon System Cost,Add,,44565,,,,44565,,,,,,,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,28,20,Mod of Weapons and Other Combat Veh,3005GZ1700,M777 Mods,A,Weapon System Cost,Add,,186998,,,,186998,,2429,,,,2429,,1569,,,,1569,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,29,20,Mod of Weapons and Other Combat Veh,3181GZ1500,Sniper Rifles Modifications,A,Weapon System Cost,Add,,1572,,,,1572,,19,,,,19,,,,,,,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,30,20,Mod of Weapons and Other Combat Veh,3640GC0401,M119 Modifications,A,Weapon System Cost,Add,,12823,,,,12823,,4642,,,,4642,,4453,,,,4453,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,31,30,Support Equipment & Facilities,1862GL3200,Items Less Than $5.0m (WOCV-WTCV),A,Weapon System Cost,Add,,19617,,,,19617,,469,,,,469,,512,,,,512,U
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,32,30,Support Equipment & Facilities,3270GC0050,Production Base Support (WOCV-WTCV),A,Weapon System Cost,Add,,119591,,,,119591,,94913,,,,94913,,308110,,,,308110,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,1,30,Small/Medium Cal Ammunition,0132E00700,"CTG, 5.56MM, All Types",A,Weapon System Cost,Add,,84090,,,,84090,,128283,,,,128283,,114418,,,,114418,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,2,30,Small/Medium Cal Ammunition,0612E02000,"CTG, 7.62MM, All Types",A,Weapon System Cost,Add,,41519,,,,41519,,51757,,38000,,89757,,41356,,,,41356,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,3,30,Small/Medium Cal Ammunition,1065E06001,NEXT GENERATION SQUAD WEAPON AMMUNITION,A,Weapon System Cost,Add,,233440,,,,233440,,426177,,,,426177,,536695,,,,536695,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,4,30,Small/Medium Cal Ammunition,1450EA3000,"CTG, Handgun, All Types",A,Weapon System Cost,Add,,6847,,,,6847,,7750,,,,7750,,6719,,,,6719,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,5,30,Small/Medium Cal Ammunition,1722E08000,"CTG, .50 Cal, All Types",A,Weapon System Cost,Add,,95241,,,,95241,,57049,,,,57049,,50861,,,,50861,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,6,30,Small/Medium Cal Ammunition,2382E08900,"CTG, 20mm, All Types",A,Weapon System Cost,Add,,7012,,,,7012,,25773,,,,25773,,9427,,,,9427,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,7,30,Small/Medium Cal Ammunition,2650E08200,"CTG, 25mm, All Types",A,Weapon System Cost,Add,,24246,,,,24246,,22324,,,,22324,,34038,,,,34038,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,8,30,Small/Medium Cal Ammunition,2938ER8120,"CTG, 30mm, All Types",A,Weapon System Cost,Add,,127341,,,,127341,,88232,,62000,,150232,,164116,,,,164116,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,9,30,Small/Medium Cal Ammunition,3222ER8001,"CTG, 40mm, All Types",A,Weapon System Cost,Add,,151217,,,,151217,,131432,,,,131432,,146105,,,,146105,U
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,10,30,Small/Medium Cal Ammunition,8030E80010,"CTG, 50MM, All Types",A,Weapon System Cost,Add,,20006,,,,20006,,42131,,,,42131,,58221,,,,58221,U
