Account,Account_Title,Budget_Activity,Budget_Activity_Title,Organization,State_Country,State_Country_Title,Fiscal_Year,Facility_Category_Title,Location_Title,Construction_Project,Construction_Project_Title,Classification,FY2025_Authorization_Amount,FY2025_Authorization_of_Approp_Amount,FY2025_Appropriation_Amount,FY2025_Total_Obligation_Authority
3300F,"Military Construction, Air Force",01,Major construction,F,MA,Massachusetts,2025,R&D Facilities,Hanscom AFB,MXRD153007,"MIT-LL/Engineering and Prototype Fac, Inc",U,315000,76000,76000,76000
3300F,"Military Construction, Air Force",01,Major construction,F,AR,Arkansas,2025,Training Facilities,Fort Smith,EBBG290001,Academic Training Center,U,74000,74000,73821,73821
3300F,"Military Construction, Air Force",01,Major construction,F,OR,Oregon,2025,Operational Facilities,"Mountain Home, AFB",QYZH253000,"HOMELAND DEFENSE OVER-THE-HORIZON RADAR, INC",U,1093000,198000,198000,198000
3300F,"Military Construction, Air Force",01,Major construction,F,SD,South Dakota,2025,Maintenance & Production Facilities,Ellsworth AFB,FXBM225791,B-21 Weapons Generation Facility Inc,U,,105000,105000,105000
3300F,"Military Construction, Air Force",01,Major construction,F,GA,Georgia,2025,Operational Facilities,Robins AFB,UHHZ210600,Battle Management Combined Operations Complex,U,115000,64000,64000,64000
3300F,"Military Construction, Air Force",01,Major construction,F,CA,California,2025,Training Facilities,Vandenberg AFB,XUMU212936,Sentinel AETC Formal Training Unit,U,167000,167000,167000,167000
3300F,"Military Construction, Air Force",01,Major construction,F,CA,California,2025,Operational Facilities,Vandenberg AFB,XUMU222919,GBSD Re-Entry Vehicle Facility,U,110000,110000,110000,110000
0740F,"Family Housing Construction, Air Force",01,New Construction,F,GY,Germany,2025,Family Housing Operations,Ramstein AB,TYFR214129,KMC 02 - Construct Two Car Garages (5 Units),U,1400,1400,1400,1400
0740F,"Family Housing Construction, Air Force",03,Construction Improvements,F,JA,Japan,2025,Family Housing Operations,Yokota AB,ZNRE224305,Const_Imp - Yokota PAIP 9 Phase 2 (32 Units),U,39000,39000,39000,39000
0740F,"Family Housing Construction, Air Force",03,Construction Improvements,F,JA,Japan,2025,Family Housing Operations,Yokota AB,ZNRE194318,Const_Imp - Yokota PAIP 8B West (19 Units),U,26242,26242,26242,26242
0740F,"Family Housing Construction, Air Force",01,New Construction,F,GY,Germany,2025,Family Housing Construction,Ramstein AB,ZHTV174002,Construct 2 GOQ Units,U,4350,4350,4350,4350
0740F,"Family Housing Construction, Air Force",04,Design,F,ZU,Worldwide Unspecified,2025,Family Housing P&D,Unspecified Worldwide Locations,PAYZ714FNA,Design,U,,6557,6557,6557
0740F,"Family Housing Construction, Air Force",03,Construction Improvements,F,AK,Alaska,2025,Family Housing Operations,Joint Base Elmendorf-Richardson,FXSBPH2502,"MHPI Restructure - JBER Phase II (1,194 Units)",U,120000,120000,120000,120000
0740F,"Family Housing Construction, Air Force",03,Construction Improvements,F,TX,Texas,2025,Family Housing Operations,Lackland AFB,MPLSPH2501,MHPI Restructure - Lackland,U,24000,24000,24000,24000
0745F,"Family Housing Operation and Maintenance, Air Force",06,Operation,F,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,6400000745,Miscellaneous,U,,2426,2426,2426
0745F,"Family Housing Operation and Maintenance, Air Force",12,Housing Privatization support,F,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,1200000745,Housing Privatization,U,,37508,37508,37508
0745F,"Family Housing Operation and Maintenance, Air Force",06,Operation,F,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,6200000745,Services,U,,12446,12446,12446
0745F,"Family Housing Operation and Maintenance, Air Force",08,Maintenance,F,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,8000000745,Maintenance,U,,121882,121882,121882
0745F,"Family Housing Operation and Maintenance, Air Force",05,Utilities,F,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,5100000745,Utilities,U,,49955,49955,49955
0745F,"Family Housing Operation and Maintenance, Air Force",07,Leasing,F,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,7000000745,Leasing,U,,6278,6278,6278
0745F,"Family Housing Operation and Maintenance, Air Force",06,Operation,F,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,6300000745,Furnishings,U,,24230,24230,24230
0745F,"Family Housing Operation and Maintenance, Air Force",06,Operation,F,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,6100000745,Management,U,,76384,76384,76384
3830F,"Military Construction, Air National Guard",01,Major construction,F,TX,Texas,2025,Operational Facilities,Fort Worth,DDPM239001,C-130J ADAL Fuel Cell Building 1674,U,23000,23000,23000,23000
3830F,"Military Construction, Air National Guard",01,Major construction,F,CA,California,2025,Training Facilities,Moffett Field,QMSN179066,Combat Rescue Helicopter Simulator,U,12600,12600,12600,12600
3830F,"Military Construction, Air National Guard",01,Major construction,F,NY,New York,2025,Training Facilities,Francis S. Gabreski Airport,WKVB179041,Combat Rescue Helicopter Simulator,U,14000,14000,14000,14000
3830F,"Military Construction, Air National Guard",02,Minor construction,F,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,PAYZ250006,Unspecified Minor Construction,U,,9000,9000,9000
3830F,"Military Construction, Air National Guard",03,Design,F,ZU,Worldwide Unspecified,2025,Planning & Design,Various Worldwide Locations,PAYZ250005,Planning and Design,U,,36092,36092,36092
3830F,"Military Construction, Air National Guard",01,Major construction,F,AK,Alaska,2025,Training Facilities,Elmendorf AFB,FXSB179042,Combat Rescue Helicopter Simulator,U,19300,19300,19300,19300
3830F,"Military Construction, Air National Guard",01,Major construction,F,ME,Maine,2025,Maintenance & Production Facilities,Bangor IAP,FKNN159044,Fuel Cell Hangar,U,50000,50000,50000,50000
3830F,"Military Construction, Air National Guard",01,Major construction,F,HI,Hawaii,2025,Operational Facilities,Hickam AFB,KNMD239001,Space Control Center,U,36600,36600,36600,36600
3830F,"Military Construction, Air National Guard",01,Major construction,F,AR,Arkansas,2025,Maintenance & Production Facilities,Fort Smith Map,HKRZ237904,F-35 3 Bay Aircraft Maintenance Hangar,U,14000,14000,14000,14000
3830F,"Military Construction, Air National Guard",01,Major construction,F,AR,Arkansas,2025,Operational Facilities,Fort Smith Map,HKRZ237931,F-35 Squad OPS Mission Planning Facility,U,26000,26000,26000,26000
3830F,"Military Construction, Air National Guard",01,Major construction,F,NJ,New Jersey,2025,Training Facilities,Atlantic City IAP,AQRC189015,F-16 Mission Training Center,U,18000,18000,18000,18000
3830F,"Military Construction, Air National Guard",01,Major construction,F,FL,Florida,2025,Operational Facilities,Jacksonville IAP,LSGA239001,F-35 Consolidated Weapons Training,U,26200,26200,26200,26200
3830F,"Military Construction, Air National Guard",01,Major construction,F,OR,Oregon,2025,Operational Facilities,Portland IAP,TQKD189126,"Special Tactics Complex, Phase 1",U,,5700,5700,5700
3730F,"Military Construction, Air Force Reserve",01,Major construction,F,OH,Ohio,2025,Operational Facilities,Youngstown MAP,ZQEL239001,Base Fire Station,U,25000,25000,25000,25000
3730F,"Military Construction, Air Force Reserve",02,Minor construction,F,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,PAYZ250341,Unspecified Minor Military Construction,U,,11701,11701,11701
3730F,"Military Construction, Air Force Reserve",01,Major construction,F,IN,Indiana,2025,Training Facilities,Grissom ARB,CTGB122032,Indoor Small Arms Range,U,21000,21000,21000,21000
3730F,"Military Construction, Air Force Reserve",03,Design,F,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,PAYZ250313,Planning & Design,U,,16962,16962,16962
051603F,Department of Defense Base Closure Account - Air Force,01,DOD BRAC,F,ZU,Worldwide Unspecified,2025,Base Realignment & Closure Account,Unspecified Worldwide Locations,F1400001,DoD BRAC Activities - Air Force,U,199882,199882,199882,199882
051203F,FY 2005 Base Realignment and Closure - Air Force,01,BRAC 2005,F,ZU,Worldwide Unspecified,2025,Base Realignment & Closure Account,Unspecified Worldwide Locations,06050515,Brac Milcon - Existing,U,,4,4,4
0500D,"Military Construction, Defense-Wide",01,Major construction,N,ZU,Worldwide Unspecified,2025,Energy Conservation,Unspecified Worldwide Locations,D03D0001,Energy Resilience and Conserv Invest Prog,U,245277,245277,245277,245277
0500D,"Military Construction, Defense-Wide",03,Design,N,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,D15ECIPPD,ERCIP Design,U,,11467,11467,11467
0500D,"Military Construction, Defense-Wide",01,Major construction,SOCOM,FL,Florida,2025,Operational Facilities,Hurlburt Field,10754420,SOF AFSOC Operations Facility,U,14000,14000,14000,14000
0500D,"Military Construction, Defense-Wide",01,Major construction,SOCOM,GA,Georgia,2025,Operational Facilities,Hunter Army Airfield,69262000,SOF Military Working Dog Kennel Facility,U,17300,17300,16800,16800
0500D,"Military Construction, Defense-Wide",01,Major construction,SOCOM,GA,Georgia,2025,Maintenance & Production Facilities,Hunter Army Airfield,81905000,SOF Consolidated Rigging Facility,U,47000,47000,47000,47000
0500D,"Military Construction, Defense-Wide",01,Major construction,SOCOM,AZ,Arizona,2025,Training Facilities,Yuma,81906000,SOF Military Free Fall Advanced Train Complex,U,64000,64000,62000,62000
0500D,"Military Construction, Defense-Wide",01,Major construction,SOCOM,NC,North Carolina,2025,Operational Facilities,Fort Bragg*,86027000,Special Warfare Center and School Company Ops Fac.,U,34000,34000,30000,30000
0500D,"Military Construction, Defense-Wide",01,Major construction,SOCOM,NC,North Carolina,2025,Supply Facilities,Fort Bragg*,90610000,SOF Arms Room Addition,U,13000,13000,11800,11800
0500D,"Military Construction, Defense-Wide",01,Major construction,DODEA,JA,Japan,2025,Community Facilities,Yokosuka,14KIJA01,Kinnick High School INC,U,,40386,10386,10386
0500D,"Military Construction, Defense-Wide",01,Major construction,DODEA,JA,Japan,2025,Community Facilities,Camp Butler,12KUHJ01,Kubasaki High School,U,160000,30000,160000,160000
0500D,"Military Construction, Defense-Wide",01,Major construction,DODEA,ZU,Worldwide Unspecified,2025,Administrative Facilities,Unspecified Worldwide Locations,01259FCF,FY25 Foreign Currency Fluctuation,U,,,9788,9788
0500D,"Military Construction, Defense-Wide",03,Design,DLA,ZU,Worldwide Unspecified,2025,Planning & Design,Various Worldwide Locations,SAWDesign,DLA Small Arms Warehouse Design FY25,U,,14500,15420,15420
0500D,"Military Construction, Defense-Wide",01,Major construction,SOCOM,NC,North Carolina,2025,Operational Facilities,"Camp Lejeune, North Carolina",P1538000,SOF Armory,U,27500,27500,25400,25400
0500D,"Military Construction, Defense-Wide",03,Design,DLA,ZU,Worldwide Unspecified,2025,Planning & Design,Various Worldwide Locations,GPWDesign,DLA General Purpose Warehouse Design FY25,U,,3420,2500,2500
0500D,"Military Construction, Defense-Wide",03,Design,DLA,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,D15ECIPPD,ERCIP Design,U,,1706,1706,1706
0500D,"Military Construction, Defense-Wide",03,Design,DEFW,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,D03D0004,Design,U,,27589,27589,27589
0500D,"Military Construction, Defense-Wide",01,Major construction,SOCOM,NC,North Carolina,2025,Operational Facilities,"Camp Lejeune, North Carolina",P1557000,SOF Operational Support Facility,U,57000,57000,,
0500D,"Military Construction, Defense-Wide",01,Major construction,SOCOM,VA,Virginia,2025,Training Facilities,Joint Expeditionary Base Little Creek - Ft Story,P3250000,SOF Human Performance Training Center,U,35000,35000,32000,32000
0500D,"Military Construction, Defense-Wide",03,Design,DLA,ZU,Worldwide Unspecified,2025,Planning & Design,Various Worldwide Locations,25DLA000,Planning and Design,U,,106000,105000,105000
0500D,"Military Construction, Defense-Wide",02,Minor construction,SOCOM,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,25999998,Unspecified Minor Construction,U,,24109,24109,24109
0500D,"Military Construction, Defense-Wide",03,Design,SOCOM,ZU,Worldwide Unspecified,2025,Planning & Design,Various Worldwide Locations,25999999,Planning and Design,U,,35495,35495,35495
0500D,"Military Construction, Defense-Wide",02,Minor construction,DLA,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Various Worldwide Locations,25DLA100,Unspecified Minor Construction,U,,13333,13333,13333
0500D,"Military Construction, Defense-Wide",02,Minor construction,TJS,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,D90J0002,Exercise Related Minor Construction,U,,26146,11146,11146
0500D,"Military Construction, Defense-Wide",02,Minor construction,TJS,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,INDPACMC25,U.S. INDO-PACIFIC Command - UMC FY2025,U,,,186800,186800
0500D,"Military Construction, Defense-Wide",03,Design,TJS,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,D90J0003,Planning and Design,U,,1964,1964,1964
0500D,"Military Construction, Defense-Wide",03,Design,TJS,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,INDPACPD25,U.S. INDO-PACIFIC Command - P&D FY2025,U,,,320000,320000
0500D,"Military Construction, Defense-Wide",01,Major construction,WHS,VA,Virginia,2025,Administrative Facilities,Pentagon,00096001,Metro Entrance Pedestrian Access Control Pt.,U,36800,36800,36800,36800
0500D,"Military Construction, Defense-Wide",02,Minor construction,DEFW,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,D03D0003,Unspecified Minor Construction,U,,3000,3000,3000
0500D,"Military Construction, Defense-Wide",01,Major construction,DIA,AL,Alabama,2025,Operational Facilities,Redstone Arsenal,202595990,MSIC Advanced Analysis Facility Phase 2,U,,,54000,54000
0500D,"Military Construction, Defense-Wide",01,Major construction,NSA,MD,Maryland,2025,Operational Facilities,Fort Meade,D24G0001,"NSAW East Campus Building #5, INC 2",U,,265000,265000,265000
0500D,"Military Construction, Defense-Wide",01,Major construction,DEFW,ZU,Worldwide Unspecified,2025,Energy Conservation,Unspecified Worldwide Locations,D03D0001,Energy Resilience and Conserv. Invest. Prog.,U,38900,38900,,
0500D,"Military Construction, Defense-Wide",01,Major construction,DLA,AK,Alaska,2025,Operational Facilities,Eielson AFB,DESC2503,Fuels Operations & Lab Facility,U,14000,14000,14000,14000
0500D,"Military Construction, Defense-Wide",01,Major construction,DLA,SC,South Carolina,2025,Operational Facilities,Beaufort,DESC2409,Fuel Pier,U,31500,31500,31500,31500
0500D,"Military Construction, Defense-Wide",02,Minor construction,NSA,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,D15G0010,Unspecified Minor Construction,U,,6000,6000,6000
0500D,"Military Construction, Defense-Wide",03,Design,NSA,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,D15ECIPP,Planning and Design,U,,2522,2522,2522
0500D,"Military Construction, Defense-Wide",01,Major construction,DLA,AK,Alaska,2025,Operational Facilities,JB Elmendorf-Richardson,DESC2408,Fuel Facilities,U,55000,55000,55000,55000
0500D,"Military Construction, Defense-Wide",03,Design,NSA,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,D16G0006,Design,U,,41928,41928,41928
0500D,"Military Construction, Defense-Wide",01,Major construction,A,ZU,Worldwide Unspecified,2025,Energy Conservation,Unspecified Worldwide Locations,D03D0001,Energy Resilience and Conserv Invest Prog,U,302073,302073,302073,302073
0500D,"Military Construction, Defense-Wide",01,Major construction,DLA,CA,California,2025,Operational Facilities,Bridgeport,DESC2407,Fuel Facilities,U,19300,19300,19300,19300
0500D,"Military Construction, Defense-Wide",01,Major construction,DLA,WA,Washington,2025,Operational Facilities,Whidbey Island,DESC2406,Hydrant Fueling System,U,54000,54000,54000,54000
0500D,"Military Construction, Defense-Wide",01,Major construction,DLA,MO,Missouri,2025,Operational Facilities,Whiteman AFB,DESC2404,Flightline Fueling Facilities,U,19500,19500,19500,19500
0500D,"Military Construction, Defense-Wide",01,Major construction,DLA,TX,Texas,2025,Supply Facilities,Corpus Christi Naval Air Station,DDCX2102,General Purpose Warehouse,U,79300,79300,79300,79300
0500D,"Military Construction, Defense-Wide",03,Design,DHA,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,D15ECIPPD,ERCIP Design,U,,3824,3824,3824
0500D,"Military Construction, Defense-Wide",03,Design,DHA,ZU,Worldwide Unspecified,2025,Planning & Design,Various Worldwide Locations,95687000,Planning & Design,U,,46751,98326,98326
0500D,"Military Construction, Defense-Wide",03,Design,A,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,EBBINGDSN,Fuel Facility Ebbing ANG (Design),U,,,2500,2500
0500D,"Military Construction, Defense-Wide",02,Minor construction,DHA,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,95686000,Unspecified Minor Construction,U,,18000,18000,18000
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,SC,South Carolina,2025,Hospital And Medical Facilities,Parris Island,97889000,Ambulatory Care Clinic Replacement (Dental),U,72050,72050,72050,72050
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,KR,Korea,2025,Hospital And Medical Facilities,Kunsan Air Base,93782000,Ambulatory Care Center Replacement,U,64942,64942,,
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,CA,California,2025,Hospital And Medical Facilities,"Camp Pendleton, California",92193000,Ambulatory Care Center Add/Alt (Area 62),U,30509,30509,34430,34430
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,CA,California,2025,Hospital And Medical Facilities,"Camp Pendleton, California",90414000,Ambulatory Care Center Add/Alt (Area 53),U,27576,27576,32000,32000
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,CA,California,2025,Hospital And Medical Facilities,"Camp Pendleton, California",89907000,Ambulatory Care Center Replacement (Area 22),U,48091,48091,55200,55200
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,CO,Colorado,2025,Hospital And Medical Facilities,"Fort Carson, Colorado",80411000,Ambulatory Care Center Replacement,U,61359,61359,,
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,ZU,Worldwide Unspecified,2025,Administrative Facilities,Unspecified Worldwide Locations,1259FCF0,Foreign Currency Fluctuation,U,,,1000,1000
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,MD,Maryland,2025,Hospital And Medical Facilities,Joint Base Andrews,10503000,Ambulatory Care Center (INC),U,,21982,44187,44187
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,MD,Maryland,2025,Hospital And Medical Facilities,Bethesda Naval Hospital,10267500,MEDCEN Addition/Alteration Incr 8,U,,77651,77651,77651
0500D,"Military Construction, Defense-Wide",01,Major construction,DHA,GB,"Guantanamo Bay, Cuba",2025,Hospital And Medical Facilities,Guantanamo Bay Naval Station,10267400,Ambulatory Care Center Replacement Incr 2,U,,96829,96829,96829
0500D,"Military Construction, Defense-Wide",03,Design,DEFW,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,D15ECIPPD,ERCIP Design,U,,55461,55461,55461
0500D,"Military Construction, Defense-Wide",01,Major construction,DODEA,UK,United Kingdom,2025,Community Facilities,Royal Air Force Lakenheath,15LHUK01,Lakenheath High School,U,153000,8000,153000,153000
0500D,"Military Construction, Defense-Wide",01,Major construction,DODEA,GY,Germany,2025,Community Facilities,Spangdahlem AB,18SPGY01,Spangdahlem Elem. School Replace (CTC),U,,6500,6500,6500
0500D,"Military Construction, Defense-Wide",01,Major construction,DODEA,GU,Guam,2025,Community Facilities,Joint Region Marianas,25GHGU01,Guam High School Temporary Facilities,U,26000,26000,26000,26000
0500D,"Military Construction, Defense-Wide",02,Minor construction,DODEA,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,10000003,Unspecified Minor Construction,U,,7400,7400,7400
0500D,"Military Construction, Defense-Wide",03,Design,DODEA,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,10DESIGN,Design,U,,7501,37501,37501
0500D,"Military Construction, Defense-Wide",01,Major construction,F,ZU,Worldwide Unspecified,2025,Energy Conservation,Unspecified Worldwide Locations,D03D0001,Energy Resilience and Conserv Invest Prog,U,88650,88650,88650,88650
0500D,"Military Construction, Defense-Wide",03,Design,F,ZU,Worldwide Unspecified,2025,Planning & Design,Unspecified Worldwide Locations,D15ECIPPD,ERCIP Design,U,,21258,21258,21258
0500D,"Military Construction, Defense-Wide",01,Major construction,MDA,GU,Guam,2025,Operational Facilities,Joint Region Marianas,25000693,"PDI: GDS, Command Center (Inc)",U,470852,147212,187212,187212
0500D,"Military Construction, Defense-Wide",01,Major construction,MDA,GU,Guam,2025,Operational Facilities,Joint Region Marianas,25000694,"PDI: GDS, EIAMD, Ph1 (Inc)",U,432372,238267,278267,278267
0500D,"Military Construction, Defense-Wide",01,Major construction,MDA,AL,Alabama,2025,Maintenance & Production Facilities,Redstone Arsenal,2500690A,Ground Test  Facility Infrastructure (Inc),U,,40000,80000,80000
0500D,"Military Construction, Defense-Wide",02,Minor construction,MDA,ZU,Worldwide Unspecified,2025,Unspecified Minor Construction,Unspecified Worldwide Locations,25999902,Worldwide Unspecified Minor Construction,U,,5277,5277,5277
0500D,"Military Construction, Defense-Wide",03,Design,MDA,ZU,Worldwide Unspecified,2025,Planning & Design,Various Worldwide Locations,25999903,Planning and Design,U,,4745,4745,4745
0804D,North Atlantic Treaty Organization Security Investment Program,01,NATO infrastructure,DEFW,ZU,Worldwide Unspecified,2025,Nato Security Investment Program,Nato Security Investment Program,D96D0005,Nato Security Investment Program,U,482139,482139,482139,482139
0765D,"Family Housing Operation and Maintenance, Defense-Wide",07,Leasing,NSA,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,D88G0018,Leasing,U,,13390,13390,13390
0765D,"Family Housing Operation and Maintenance, Defense-Wide",08,Maintenance,NSA,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,D88G0019,Maintenance,U,,28,28,28
0765D,"Family Housing Operation and Maintenance, Defense-Wide",05,Utilities,DIA,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,D17000000001,Utilities,U,,3902,3902,3902
0765D,"Family Housing Operation and Maintenance, Defense-Wide",06,Operation,DIA,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,D88L0003,Furnishings,U,,655,655,655
0765D,"Family Housing Operation and Maintenance, Defense-Wide",07,Leasing,DIA,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,D88L0004,Leasing,U,,32693,32693,32693
0765D,"Family Housing Operation and Maintenance, Defense-Wide",05,Utilities,NSA,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,D88G0017,Utilities,U,,3,3,3
0765D,"Family Housing Operation and Maintenance, Defense-Wide",06,Operation,NSA,ZU,Worldwide Unspecified,2025,Family Housing Operations,Unspecified Worldwide Locations,D88G0013,Furnishings,U,,91,91,91
4090D,"Homeowners Assistance Fund, Defense",01,Payment to homeowners (private sale and foreclosure assistan,A,ZU,Worldwide Unspecified,2025,Homeowners Assistance,Unspecified Worldwide Locations,A0299901,Payments To Homeowners,U,,1077,1077,1077
0834D,Department of Defense Family Housing Improvement Fund,12,DIFFERENTIAL LEASE PAYMENTS,DEFW,ZU,Worldwide Unspecified,2025,Family Housing Improvement Fund,Unspecified Worldwide Locations,D99D0004,Differential Lease Payments,U,,1610,1610,1610
0834D,Department of Defense Family Housing Improvement Fund,05,Reestimate of Direct Loan Subsidy,DEFW,ZU,Worldwide Unspecified,2025,Family Housing Improvement Fund,Unspecified Worldwide Locations,D99D0004,Reestimate of Direct Loan Subsidy,U,,34317,34317,34317
0834D,Department of Defense Family Housing Improvement Fund,06,Intrest on re-estimate of direct loan subsidy,DEFW,ZU,Worldwide Unspecified,2025,Family Housing Improvement Fund,Unspecified Worldwide Locations,D99D0004,Intrest on Re-Estimate of Direct Loan Subsidy,U,,16599,16599,16599
0834D,Department of Defense Family Housing Improvement Fund,09,Administrative Expenses,DEFW,ZU,Worldwide Unspecified,2025,Family Housing Improvement Fund,Unspecified Worldwide Locations,D99D0004,Administrative Expenses - FHIF,U,,5625,5625,5625
0834D,Department of Defense Family Housing Improvement Fund,11,Equity investments,DEFW,ZU,Worldwide Unspecified,2025,Family Housing Improvement Fund,Unspecified Worldwide Locations,D99D0004,Equity Investments,U,,100000,100000,100000
051604D,Department of Defense Base Closure Account - Defense-Wide,01,DOD BRAC,DLA,ZU,Worldwide Unspecified,2025,Base Realignment & Closure Account,Unspecified Worldwide Locations,COMM168B,Int-4: DLA Activities,U,1756,1756,1756,1756
051004D,"Base Realignment and Closure, Defense",02,Base Closure (II),DLA,ZU,Worldwide Unspecified,2025,Operational Facilities,"Base Realignment & Closure, Defense",D02S0019,"Base Realignment & Closure, Defense",U,,2405,2405,2405
051204D,FY 2005 Base Realignment and Closure - Defense-Wide,01,BRAC 2005,DLA,ZU,Worldwide Unspecified,2025,Base Realignment & Closure Account,"Base Realignment & Closure, Defense",11DLA001,Brac - Closure V,U,,5,5,5
0836D,Military Unaccompanied Housing Improvement Fund,09,Administrative Expenses,DEFW,ZU,Worldwide Unspecified,2025,Unaccompanied Housing Impr Fund,Unspecified Worldwide Locations,D18D0008,Administrative Expenses - UHIF,U,,502,502,502
